h,f1
0.319000,0.816829
0.320000,0.819828
0.321000,0.819828
0.322000,0.819828
0.323000,0.819828
0.324000,0.819828
0.325000,0.819828
0.326000,0.819828
0.327000,0.819828
0.328000,0.819828
0.329000,0.819828
0.330000,0.819828
0.331000,0.819828
0.332000,0.816829
0.333000,0.816829
0.334000,0.816829
0.335000,0.816829
0.336000,0.819828
0.337000,0.819828
0.338000,0.819828
0.339000,0.819828
0.340000,0.822600
0.341000,0.825584
0.342000,0.825584
0.343000,0.825584
0.344000,0.825584
0.345000,0.825584
0.346000,0.825584
0.347000,0.820048
0.348000,0.820048
0.349000,0.820048
0.350000,0.820048
0.351000,0.820048
0.352000,0.820048
0.353000,0.820048
0.354000,0.820048
0.355000,0.820048
0.356000,0.817064
0.357000,0.817064
0.358000,0.817064
0.359000,0.817064
0.360000,0.817064
0.361000,0.817064
0.362000,0.817064
0.363000,0.817064
0.364000,0.817064
0.365000,0.817064
0.366000,0.814302
0.367000,0.814302
0.368000,0.814302
0.369000,0.814302
0.370000,0.814302
0.371000,0.814302
0.372000,0.814302
0.373000,0.814302
0.374000,0.814302
0.375000,0.814302
0.376000,0.814302
0.377000,0.814302
0.378000,0.811303
0.379000,0.814302
0.380000,0.814302
0.381000,0.808541
0.382000,0.808541
0.383000,0.808541
0.384000,0.808541
0.385000,0.808541
0.386000,0.808541
0.387000,0.802375
0.388000,0.802375
0.389000,0.802375
0.390000,0.802375
0.391000,0.802375
0.392000,0.802375
0.393000,0.802375
0.394000,0.802375
0.395000,0.802375
0.396000,0.802318
0.397000,0.802318
0.398000,0.802318
0.399000,0.802318
0.400000,0.799196
0.401000,0.799196
0.402000,0.801912
0.403000,0.801912
0.404000,0.801912
0.405000,0.801912
0.406000,0.801912
0.407000,0.801912
0.408000,0.801912
0.409000,0.801912
0.410000,0.801912
0.411000,0.802176
0.412000,0.802141
0.413000,0.802157
0.414000,0.795897
0.415000,0.792663
0.416000,0.792683
0.417000,0.792683
0.418000,0.792683
0.419000,0.792683
0.420000,0.789923
0.421000,0.789923
0.422000,0.789923
0.423000,0.789923
0.424000,0.787309
0.425000,0.787309
0.426000,0.787309
0.427000,0.787309
0.428000,0.787309
0.429000,0.784556
0.430000,0.781941
0.431000,0.784556
0.432000,0.784950
0.433000,0.784950
0.434000,0.784950
0.435000,0.784950
0.436000,0.784950
0.437000,0.784950
0.438000,0.784950
0.439000,0.784950
0.440000,0.784950
0.441000,0.784950
0.442000,0.784950
0.443000,0.784950
0.444000,0.784950
0.445000,0.784950
0.446000,0.784950
0.447000,0.784950
0.448000,0.784950
0.449000,0.784950
0.450000,0.784950
0.451000,0.784950
0.452000,0.784950
0.453000,0.784950
0.454000,0.784950
0.455000,0.784950
0.456000,0.784950
0.457000,0.784950
0.458000,0.781938
0.459000,0.781938
0.460000,0.784829
0.461000,0.784829
0.462000,0.784829
0.463000,0.784829
0.464000,0.784829
0.465000,0.784829
0.466000,0.784829
0.467000,0.784829
0.468000,0.784829
0.469000,0.784829
0.470000,0.784829
0.471000,0.784829
0.472000,0.784829
0.473000,0.784829
0.474000,0.784829
0.475000,0.784829
0.476000,0.784829
0.477000,0.784829
0.478000,0.784829
0.479000,0.784829
0.480000,0.784829
0.481000,0.781497
0.482000,0.781497
0.483000,0.778174
0.484000,0.778174
0.485000,0.778174
0.486000,0.772207
0.487000,0.772207
0.488000,0.772207
0.489000,0.768815
0.490000,0.771853
0.491000,0.771853
0.492000,0.774467
0.493000,0.774467
0.494000,0.774467
0.495000,0.774467
0.496000,0.774467
0.497000,0.774467
0.498000,0.774467
0.499000,0.774467
0.500000,0.774467
0.501000,0.774467
0.502000,0.774467
0.503000,0.774467
0.504000,0.774467
0.505000,0.774467
0.506000,0.771008
0.507000,0.771008
0.508000,0.767506
0.509000,0.767506
0.510000,0.763957
0.511000,0.763957
0.512000,0.763957
0.513000,0.761243
0.514000,0.761243
0.515000,0.754928
0.516000,0.754883
0.517000,0.754883
0.518000,0.754883
0.519000,0.751035
0.520000,0.751035
0.521000,0.751035
0.522000,0.751035
0.523000,0.751035
0.524000,0.751035
0.525000,0.751035
0.526000,0.751035
0.527000,0.748316
0.528000,0.748316
0.529000,0.746124
0.530000,0.746634
0.531000,0.743673
0.532000,0.743673
0.533000,0.743673
0.534000,0.743673
0.535000,0.743673
0.536000,0.743673
0.537000,0.743673
0.538000,0.743673
0.539000,0.737438
0.540000,0.737438
0.541000,0.737438
0.542000,0.737438
0.543000,0.737438
0.544000,0.737438
0.545000,0.733624
0.546000,0.733624
0.547000,0.733624
0.548000,0.733624
0.549000,0.733587
0.550000,0.733587
0.551000,0.725091
0.552000,0.725091
0.553000,0.725091
0.554000,0.725091
0.555000,0.725083
0.556000,0.725083
0.557000,0.725083
0.558000,0.722926
0.559000,0.722926
0.560000,0.718960
0.561000,0.718960
0.562000,0.718960
0.563000,0.716261
0.564000,0.716261
0.565000,0.716261
0.566000,0.716261
0.567000,0.716261
0.568000,0.716261
0.569000,0.712216
0.570000,0.708087
0.571000,0.708087
0.572000,0.708087
0.573000,0.703869
0.574000,0.703869
0.575000,0.703869
0.576000,0.703869
0.577000,0.703869
0.578000,0.703869
0.579000,0.703869
0.580000,0.703869
0.581000,0.700556
0.582000,0.700556
0.583000,0.700556
0.584000,0.693549
0.585000,0.693549
0.586000,0.693549
0.587000,0.693549
0.588000,0.693549
0.589000,0.693549
0.590000,0.693549
0.591000,0.693549
0.592000,0.693549
0.593000,0.693549
0.594000,0.693291
0.595000,0.693291
0.596000,0.693291
0.597000,0.690588
0.598000,0.690588
0.599000,0.690588
0.600000,0.687882
0.601000,0.687882
0.602000,0.687882
0.603000,0.687882
0.604000,0.685174
0.605000,0.685174
0.606000,0.680759
0.607000,0.680759
0.608000,0.680759
0.609000,0.680759
0.610000,0.680759
0.611000,0.680759
0.612000,0.678549
0.613000,0.678549
0.614000,0.678549
0.615000,0.678549
0.616000,0.678549
0.617000,0.678549
0.618000,0.678549
0.619000,0.678549
0.620000,0.678549
0.621000,0.678549
0.622000,0.678549
0.623000,0.678549
0.624000,0.678549
0.625000,0.678549
0.626000,0.678549
0.627000,0.678549
0.628000,0.678549
0.629000,0.678549
0.630000,0.678549
0.631000,0.675741
0.632000,0.675741
0.633000,0.671221
0.634000,0.665814
0.635000,0.665814
0.636000,0.663105
0.637000,0.663105
0.638000,0.663105
0.639000,0.663105
0.640000,0.655759
0.641000,0.650900
0.642000,0.650900
0.643000,0.643287
0.644000,0.643287
0.645000,0.643287
0.646000,0.643287
0.647000,0.643287
0.648000,0.640564
0.649000,0.640564
0.650000,0.640564
0.651000,0.640564
0.652000,0.640564
0.653000,0.640564
0.654000,0.637836
0.655000,0.637836
0.656000,0.638454
0.657000,0.638454
0.658000,0.638454
0.659000,0.638454
0.660000,0.638361
0.661000,0.638361
0.662000,0.638361
0.663000,0.633317
0.664000,0.633317
0.665000,0.630590
0.666000,0.625404
0.667000,0.622672
0.668000,0.622577
0.669000,0.622577
0.670000,0.617226
0.671000,0.617226
0.672000,0.617226
0.673000,0.611716
0.674000,0.614913
0.675000,0.617170
0.676000,0.617170
0.677000,0.617170
0.678000,0.619864
0.679000,0.619864
0.680000,0.619864
0.681000,0.619864
0.682000,0.619864
0.683000,0.619864
0.684000,0.619864
0.685000,0.619864
0.686000,0.619864
0.687000,0.619864
0.688000,0.619864
0.689000,0.619864
0.690000,0.619864
0.691000,0.619864
0.692000,0.617104
0.693000,0.617104
0.694000,0.617104
0.695000,0.617104
0.696000,0.616981
0.697000,0.616981
0.698000,0.616981
0.699000,0.616981
0.700000,0.616810
0.701000,0.616810
0.702000,0.616810
0.703000,0.616810
0.704000,0.616810
0.705000,0.616810
0.706000,0.616810
0.707000,0.616810
0.708000,0.616810
0.709000,0.616810
0.710000,0.616810
0.711000,0.616810
0.712000,0.611271
0.713000,0.608490
0.714000,0.608490
0.715000,0.605702
0.716000,0.605702
0.717000,0.605702
0.718000,0.605702
0.719000,0.603649
0.720000,0.603649
0.721000,0.600853
0.722000,0.600853
0.723000,0.595152
0.724000,0.592348
0.725000,0.592348
0.726000,0.592348
0.727000,0.589535
0.728000,0.589535
0.729000,0.589466
0.730000,0.589466
0.731000,0.587382
0.732000,0.581508
0.733000,0.576580
0.734000,0.573749
0.735000,0.573749
0.736000,0.573749
0.737000,0.568059
0.738000,0.568059
0.739000,0.568059
0.740000,0.567979
0.741000,0.565497
0.742000,0.565497
0.743000,0.565497
0.744000,0.565497
0.745000,0.565453
0.746000,0.565453
0.747000,0.563579
0.748000,0.563552
0.749000,0.563546
0.750000,0.563546
0.751000,0.563546
0.752000,0.563546
0.753000,0.563546
0.754000,0.565548
0.755000,0.565548
0.756000,0.565548
0.757000,0.565548
0.758000,0.562730
0.759000,0.562730
0.760000,0.562730
0.761000,0.562730
0.762000,0.562730
0.763000,0.560379
0.764000,0.560379
0.765000,0.560379
0.766000,0.560379
0.767000,0.557619
0.768000,0.557619
0.769000,0.557619
0.770000,0.557619
0.771000,0.557747
0.772000,0.554873
0.773000,0.554873
0.774000,0.554873
0.775000,0.554873
0.776000,0.554873
0.777000,0.552629
0.778000,0.549743
0.779000,0.549743
0.780000,0.549743
0.781000,0.549743
0.782000,0.549743
0.783000,0.549743
0.784000,0.546980
0.785000,0.546980
0.786000,0.546980
0.787000,0.546980
0.788000,0.544230
0.789000,0.544230
0.790000,0.544230
0.791000,0.544230
0.792000,0.541309
0.793000,0.541309
0.794000,0.538376
0.795000,0.538376
0.796000,0.538376
0.797000,0.538376
0.798000,0.538376
0.799000,0.529151
0.800000,0.526192
0.801000,0.526192
0.802000,0.526192
0.803000,0.526192
0.804000,0.523219
0.805000,0.523219
0.806000,0.520232
0.807000,0.520397
0.808000,0.518450
0.809000,0.518450
0.810000,0.518450
0.811000,0.518450
0.812000,0.518649
0.813000,0.512641
0.814000,0.512641
0.815000,0.512641
0.816000,0.512641
0.817000,0.512641
0.818000,0.512641
0.819000,0.509615
0.820000,0.509615
0.821000,0.509615
0.822000,0.509615
0.823000,0.509615
0.824000,0.507239
0.825000,0.507239
0.826000,0.504198
0.827000,0.497709
0.828000,0.497887
0.829000,0.494830
0.830000,0.494830
0.831000,0.491757
0.832000,0.491757
0.833000,0.491962
0.834000,0.492195
0.835000,0.492195
0.836000,0.492195
0.837000,0.492195
0.838000,0.492195
0.839000,0.492457
0.840000,0.492163
0.841000,0.492163
0.842000,0.485978
0.843000,0.486266
0.844000,0.483148
0.845000,0.483148
0.846000,0.483148
0.847000,0.480013
0.848000,0.480013
0.849000,0.480013
0.850000,0.480013
0.851000,0.480013
0.852000,0.480013
0.853000,0.480334
0.854000,0.480334
0.855000,0.480334
0.856000,0.477181
0.857000,0.477181
0.858000,0.477181
0.859000,0.474009
0.860000,0.474009
0.861000,0.474009
0.862000,0.470819
0.863000,0.470819
0.864000,0.470819
0.865000,0.470819
0.866000,0.467610
0.867000,0.467610
0.868000,0.467610
0.869000,0.467610
0.870000,0.467610
0.871000,0.467610
0.872000,0.467610
0.873000,0.464381
0.874000,0.461133
0.875000,0.461133
0.876000,0.457864
0.877000,0.451264
0.878000,0.451264
0.879000,0.451264
0.880000,0.447932
0.881000,0.444578
0.882000,0.444578
0.883000,0.441202
0.884000,0.441202
0.885000,0.441202
0.886000,0.441202
0.887000,0.441202
0.888000,0.438159
0.889000,0.434736
0.890000,0.434736
0.891000,0.434736
0.892000,0.434736
0.893000,0.434736
0.894000,0.434736
0.895000,0.434523
0.896000,0.430882
0.897000,0.430882
0.898000,0.430882
0.899000,0.430882
0.900000,0.430882
0.901000,0.430882
0.902000,0.427420
0.903000,0.427234
0.904000,0.427234
0.905000,0.427234
0.906000,0.423751
0.907000,0.423751
